Article title,Authors,Year,DOI link,Graph.Abstract link,Model,Force field,Variations/ modifications/interaction,Main findings,Tags
DNA sliding in nucleosomes via twist defect propagation revealed by molecular simulations,"Brandani GB, Niina T, Tan C, Takada S. ",2018,https://doi.org/10.1093/nar/gky158,https://oup.silverchair-cdn.com/oup/backfile/Content_public/Journal/nar/46/6/10.1093_nar_gky158/1/m_gky158fig1.jpeg?Expires=1713107679&Signature=oENlan4jKTbaRFg38XFR~MnH0HfIgelPjTkGwa6GGPrUEKMKdGkEpy~6yHuEjRd~V8d8kM5~4toJN8EkBFYSonNHQdOgVGrWxmMpmq5lX-WmTDgTxwK-BM9acSBQ9Y42~1EDrOMS3Lh~fx0bw~UmteqWMfs~vBHWxB30ATCQAeHdUeEV5xLn2q800tuVCPcAlmocIN4xINQBFU-db~3erQi3Sr4GNehsMj1P~X6h1hT49xUlmGMT5uh7Hux1Zyezh8eYyj~SEHmJTcVfioU~5cin2H2mc680M5OWQfL0Voej48-HdTVT0LbDoYo0zjlaSsJcXUhY3Li~y2Q~VvaGBw__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA,Nucleosome with linker DNA and full histone tails,"AICG2+ (protein), 3SPN.2C (DNA)",,Spontaneous formation and propagation of twist defects,#INTERNAL_PLASTICITY
Chromatin remodelers couple inchworm motion with twist-defect formation to slide nucleosomal DNA,"Brandani GB, Takada S. ",2018,https://doi.org/10.1371/journal.pcbi.1006512,https://journals.plos.org/ploscompbiol/article/figure/image?size=large&id=10.1371/journal.pcbi.1006512.g001,Nucleosome with linker DNA and full histone tails,"AICG2+ (protein), 3SPN.2C (DNA)",Snf2,Snf2-mediated nucleosome translocation,#COMPLEXES
Interactions of HP1 Bound to H3K9me3 Dinucleosome by Molecular Simulations and Biochemical Assays,"Watanabe S, Mishima Y, Shimizu M, Suetake I, Takada S.",2018,https://doi.org/10.1016/j.bpj.2018.03.025,https://www.cell.com/cms/attachment/95325021-083e-4aed-813f-fed0ceb5213b/gr1.jpg,Dinuceosome with full histone tails; mononuceosome with full histone tails and linker DNA,"AICG2+ (protein), 3SPN.1 (DNA)","lysine methylation, HP1",Modes of HP1 interaction with the dinucleosome,#COMPLEXES
The Free Energy Landscape of Internucleosome Interactions and Its Relation to Chromatin Fiber Structure,"Moller J, Lequieu J, De Pablo JJ. ",2019,https://doi.org/10.1021/acscentsci.8b00836,https://pubs.acs.org/cms/10.1021/acscentsci.8b00836/asset/images/medium/oc-2018-008368_0007.gif,Dinucleosomes,3SPN and AICG,H4 lysine acetylation,"Energy effects of inter-nucleosome interactions, their orientations, PTM influence",#INTERNAL_PLASTICITY
Sensitive effect of linker histone binding mode and subtype on chromatin condensation,"Perišić O, Portillo-Ledesma S, Schlick T.",2019,https://doi.org/10.1093/nar/gkz234,https://oup.silverchair-cdn.com/oup/backfile/Content_public/Journal/nar/47/10/10.1093_nar_gkz234/1/m_gkz234fig1.jpeg?Expires=1712838097&Signature=PbccVnRNWBpZijTVPRXIvAEyBqVCf5~u8R~qs7BCgm1zKj4Qs5IFkqDtKFHIamLQzzFwVo7~iDo8h62k2tmyPGC~9u7cItl4q1oQFVapRmZYFcHqD3dM5Jtt3PzrUtzQDIKp8ckk7y8LszAkGJl-PVSABmoJIyjWj-tX8BK26GHjxRGBYOEo9XIjK4yIVO4cU1QALVXRoYXkPto8PbBjyuYQWIUjlQB1mG5wUR474xyAGd-~Y4BjeVBzetCp5snq-HhyQ6lgM3PJT-Eos191rrx34evJ3CAP1b2kBgJah3pGrBfYNV-JoELr1OjP8z4MtdljgaNCWEGzm~Bvuys0VA__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA,Chromatin mesoscale model: polynucleosome fibers with core histone tails and H1 without N-terminal tail,custom coarse grained models,"H1.2, H1.4",Linker histone subtypes and variability in their binding modes may add another layer of epigenetic regulation,#SUB_SUPRA
The Oligomerization Landscape of Histones,"Zhao H, Winogradoff D, Dalal Y, Papoian GA.",2019,https://doi.org/10.1016/j.bpj.2019.03.021,https://ars.els-cdn.com/content/image/1-s2.0-S0006349519302784-gr7.jpg,H3/H4 tetramer; CENP-A/H4tetramer,AWSEM,-,Structural details for the assembly of canonical and variant histone tetramers and octamers; proposal of different chaperone-assisted binding and nucleosome assembly mechanisms for canonical and CENP-A histone oligomers.,#SUB_SUPRA #MODIFICATIONS_VARIANT
Nucleosome allostery in pioneer transcription factor binding,"Tan C, Takada S. ",2020,https://doi.org/10.1073/pnas.2005500117,https://www.pnas.org/cms/10.1073/pnas.2005500117/asset/929dff2f-fa43-4987-ae92-9edfd770fe63/assets/images/large/pnas.2005500117fig01.jpg,"Nucleosome core particle, full histone tails",AICG2+ (protein) + 3SPN.2C (DNA) + PWMcos (protein-DNA interacions),"Sox2, Oct4",Nucleosome-mediated allostery: Sox2-induced register shift exposes occluded site,#COMPLEXES
Linker DNA Length is a Key to Tri-nucleosome Folding,"Kenzaki H, Takada S",2021,https://doi.org/10.1016/j.jmb.2020.166792,https://ars.els-cdn.com/content/image/1-s2.0-S0022283620307178-ga1_lrg.jpg,Trinucleosome with various linker DNA lengths,"AICG2+ (protein), 3SPN.2C (DNA)",-,Trinucleosome folding strongly dependent on linker DNA length,#SUB_SUPRA
The kinetic landscape of nucleosome assembly: A coarse-grained molecular dynamics study,"Brandani GB, Tan C, Takada S. ",2021,https://doi.org/10.1371/journal.pcbi.1009253,https://journals.plos.org/ploscompbiol/article/figure/image?size=inline&id=10.1371/journal.pcbi.1009253.g005,Nucleosome core particle with full histone tails,"AICG2+ (histones),
3SPN2.C (DNA)",Nucleosome disassembly,"The kinetics of nucleosome assembly, the structure of non-canonical nucleosome intermediates, and the influence of salt concentration and DNA sequence on the assembly process.",#SUB_SUPRA
The lane-switch mechanism for nucleosome repositioning by DNA translocase,"Nagae F, Brandani GB, Takada S, Terakawa T.",2021,https://doi.org/10.1093/nar/gkab664,https://oup.silverchair-cdn.com/oup/backfile/Content_public/Journal/nar/49/16/10.1093_nar_gkab664/1/m_gkab664fig2.jpeg?Expires=1713028218&Signature=C1PyN2IAkp1KhOfhWBoTl9wgd1jgvlZj5Tp87Bs1qfxfqS6xCY5YkVHfK4O4qYv1eKajjZy5kmBTIOS-3G9fi6DsKVeUwX6gg7DSshBcYOz1BT7PUmWyKuM6rjw9oVyCmLj3k~mzdcRRE~YGqhzjnbz20UY2UmB5Osa2f2jiD5n4E52fo9s2V28CSMGn3SKg-Fw4jScCiiBZN9ekS26jpkrNhxZnknaa4eGGF7DxU2nN4nhj6p~vI5UwZ5WM2Kuj16lQrTJ-ZKOY6YSmnvU274AE82USJLPohAODpyn6AI49uL92GfKC2RjJoDVkZVw5tWS6Vg9wqpIsYuqDGK-CdA__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA,Nucleosome with linker DNA and full histone tails,"AICG2+ (histones), 3SPN.2C (DNA), excluded volume potential (RNAP)",RNAP,RNAP-mediated nucleosome translocation,#COMPLEXES
